fii_name,quote,dividend_yield,price_book_ratio,liquidity,appreciation_12months,vacancy,number_unit_holders,issued_units,net_asset_value_per_unit,net_asset_value,last_dividend_payment,corporate_name,cnpj,target_audience,invest_objective,market_sector,fund_type,fund_term,management_type,management_fee,date_process
RZTR11,"R$ 90,19","12,64%","0,92","R$ 375,54 K","-0,38%",-,131.141,18.851.709,"R$ 97,83","R$ 1,84 Bilhão","R$ 0,90",FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,36.501.128/0001-86,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,25% a.a sobre patrimônio liquido",2024-11-09
XPCA11,"R$ 5,96","19,55%","0,65","R$ 1,58 M","-26,42%",-,109.155,45.523.065,"R$ 9,21","R$ 419,13 Milhões","R$ 0,04",XP CRÉDITO AGRÍCOLA,41.269.527/0001-01,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
IRDM11,"R$ 68,00","13,30%","0,81","R$ 5,26 M","-3,79%",-,285.614,36.433.816,"R$ 84,33","R$ 3,07 Bilhões","R$ 0,80",FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,28.830.325/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,17% a.a",2024-11-09
KNSC11,"R$ 8,68","11,53%","0,97","R$ 4,30 M","8,91%",-,163.879,134.656.261,"R$ 8,94","R$ 1,20 Bilhão","R$ 0,08",KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.864.448/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,20% a.a sobre patrimônio liquido",2024-11-09
HGRE11,"R$ 103,99","10,10%","0,68","R$ 2,14 M","-11,45%","16,60%",148.648,11.817.756,"R$ 152,22","R$ 1,80 Bilhão","R$ 0,78",CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.072.017/0001-29,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,0% a.a",2024-11-09
TGAR11,"R$ 98,70","15,58%","0,88","R$ 15,35 M","-6,55%",-,175.468,23.567.957,"R$ 112,45","R$ 2,65 Bilhões","R$ 1,15",FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL,25.032.881/0001-53,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"1,50% a.a",2024-11-09
RZAG11,"R$ 8,01","16,23%","0,84","R$ 1,69 M","-0,99%",-,84.324,68.040.414,"R$ 9,58","R$ 651,81 Milhões","R$ 0,11",FDO INV CADEIAS PROD AGRO RIZA AGRO,40.413.979/0001-44,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
HGBS11,"R$ 196,50","10,64%","0,88","R$ 3,72 M","-3,96%","5,70%",126.056,12.729.789,"R$ 223,54","R$ 2,85 Bilhões","R$ 1,60",HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.431.747/0001-06,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,60% a.a",2024-11-09
HCTR11,"R$ 27,06","17,80%","0,24","R$ 916,91 K","-14,39%",-,157.841,22.084.191,"R$ 111,92","R$ 2,47 Bilhões","R$ 0,37",HECTARE CE - FUNDOS INVESTIMENTO IMOBILIÁRIOS,30.248.180/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,21% a.a PL",2024-11-09
LVBI11,"R$ 100,15","10,79%","0,80","R$ 4,30 M","-5,05%","1,00%",133.160,16.118.554,"R$ 124,60","R$ 2,01 Bilhões","R$ 0,83",FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO,30.629.603/0001-18,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,30% a.a",2024-11-09
PVBI11,"R$ 79,65","9,73%","0,76","R$ 10,50 M","-16,62%","15,70%",166.503,27.130.056,"R$ 105,13","R$ 2,85 Bilhões","R$ 0,55",FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES,35.652.102/0001-76,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 20.000,00 mensais)",2024-11-09
KISU11,"R$ 7,21","12,19%","0,87","R$ 891,74 K","-4,38%",-,123.916,44.196.039,"R$ 8,31","R$ 367,09 Milhões","R$ 0,07",KLIMA FIC FUNDO IMOBILIÁRIO SUNO 30,36.669.660/0001-07,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,65% a.a sobre patrimônio liquido (minimo R$15.000,00 mensais)",2024-11-09
RURA11,"R$ 7,98","15,09%","0,80","R$ 3,52 M","-14,10%",-,89.251,160.099.498,"R$ 10,04","R$ 1,61 Bilhão","R$ 0,06",ITAÚ ASSET RURAL FIAGRO,42.479.593/0001-60,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
VILG11,"R$ 79,45","9,29%","0,70","R$ 1,91 M","-13,74%",-,158.944,14.997.385,"R$ 113,55","R$ 1,70 Bilhão","R$ 0,61",VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.853.044/0001-22,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a",2024-11-09
KNCA11,"R$ 94,60","13,52%","0,92","R$ 3,81 M","1,36%",-,70.165,21.599.908,"R$ 102,74","R$ 2,22 Bilhões","R$ 1,02",KINEA CRÉDITO AGRO FIAGRO,41.745.701/0001-37,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
SNAG11,"R$ 9,75","12,77%","0,97","R$ 1,57 M","7,97%",-,109.035,57.757.340,"R$ 10,08","R$ 582,22 Milhões","R$ 0,10",SUNO AGRO,28.152.777/0001-90,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
KNIP11,"R$ 91,22","11,06%","0,96","R$ 9,88 M","10,24%",-,78.178,80.078.175,"R$ 94,78","R$ 7,59 Bilhões","R$ 0,70",KINEA INDICES DE PRECOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,24.960.430/0001-13,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00 % a.a",2024-11-09
BRCO11,"R$ 104,14","10,22%","0,88","R$ 2,98 M","-7,27%","0,80%",120.564,15.905.122,"R$ 118,91","R$ 1,89 Bilhão","R$ 0,87",BRESCO LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.748.515/0001-81,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,0975% a.a sobre patrimônio liquido",2024-11-09
DEVA11,"R$ 32,06","20,84%","0,32","R$ 759,83 K","-12,12%",-,102.179,14.044.897,"R$ 99,48","R$ 1,40 Bilhão","R$ 0,45",DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.087.810/0001-37,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,70% a.a",2024-11-09
HGCR11,"R$ 95,90","11,99%","0,96","R$ 3,09 M","3,95%",-,101.236,15.418.095,"R$ 99,65","R$ 1,54 Bilhão","R$ 0,95",CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.160.521/0001-22,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,80% a.a",2024-11-09
RECR11,"R$ 77,60","14,43%","0,84","R$ 3,00 M","3,21%",-,173.189,26.441.639,"R$ 92,93","R$ 2,46 Bilhões","R$ 1,08",FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS,28.152.272/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a",2024-11-09
BRCR11,"R$ 43,87","13,79%","0,49","R$ 1,50 M","-11,55%","15,30%",133.835,26.638.191,"R$ 89,17","R$ 2,38 Bilhões","R$ 0,50",FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CORPORATE OFFICE,08.924.783/0001-01,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,25% a.a sobre patrimônio liquido",2024-11-09
HSLG11,"R$ 79,12","11,22%","0,76","R$ 628,20 K","-3,90%","3,90%",40.125,12.660.056,"R$ 104,42","R$ 1,32 Bilhão","R$ 0,74",HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.621/0001-71,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido ou valor de mercado do fundo",2024-11-09
URPR11,"R$ 64,73","19,25%","0,64","R$ 2,87 M","-8,60%",-,81.173,11.733.884,"R$ 101,81","R$ 1,19 Bilhão","R$ 0,87",URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.872/0001-87,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"0,25% a.a",2024-11-09
RBRR11,"R$ 84,19","11,44%","0,90","R$ 3,20 M","4,07%",-,133.158,15.057.190,"R$ 93,51","R$ 1,41 Bilhão","R$ 0,80",FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR RENDIMENTO HIGH GRADE,29.467.977/0001-03,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,15% a.a. sobre o patrimônio líq. do Fundo",2024-11-09
HABT11,"R$ 78,51","15,49%","0,82","R$ 1,30 M","4,28%",-,70.557,8.126.772,"R$ 95,35","R$ 774,90 Milhões","R$ 0,90",HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.578.417/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a.",2024-11-09
VIUR11,"R$ 5,61","14,60%","0,64","R$ 304,20 K","-19,86%","3,00%",50.028,26.946.209,"R$ 8,81","R$ 237,37 Milhões","R$ 0,07",VINCI IMÓVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.445.587/0001-90,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"0,85% a.a sobre patrimônio liquido",2024-11-09
GTWR11,"R$ 74,50","12,72%","0,73","R$ 780,32 K","4,21%",-,40.004,11.999.989,"R$ 101,43","R$ 1,22 Bilhão","R$ 0,79",FUNDO DE INVESTIMENTO IMOBILIARIO GREEN TOWERS,23.740.527/0001-58,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,25% a.a",2024-11-09
FGAA11,"R$ 8,01","17,17%","0,83","R$ 1,41 M","-4,76%",-,54.111,45.081.438,"R$ 9,63","R$ 434,01 Milhões","R$ 0,11",FG AGRO FDO DE INVEST,42.405.905/0001-91,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
HTMX11,"R$ 159,00","16,73%","1,19","R$ 1,01 M","13,93%","38,00%",35.677,1.504.323,"R$ 133,77","R$ 201,24 Milhões","R$ 2,37",FUNDOS INVESTIMENTO IMOBILÍARIOS FII HOTEL MAXINVEST,08.706.065/0001-69,Geral,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,"0,50% a.a",2024-11-09
JSRE11,"R$ 60,51","9,39%","0,55","R$ 1,97 M","-6,50%","7,00%",98.533,20.767.317,"R$ 109,53","R$ 2,27 Bilhões","R$ 0,48",JS REAL ESTATE MULTIGESTÃO - FII,13.371.132/0001-71,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,1% a.a. sobre valor de mercado médio do fundo,2024-11-09
XPSF11,"R$ 6,65","13,16%","0,83","R$ 730,65 K","-6,47%",-,63.830,43.302.129,"R$ 7,98","R$ 345,40 Milhões","R$ 0,07",XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO,30.983.020/0001-90,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"1% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)",2024-11-09
RBRF11,"R$ 6,87","9,80%","0,81","R$ 2,60 M","-2,69%",-,131.183,136.807.689,"R$ 8,51","R$ 1,16 Bilhão","R$ 0,06",RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.529.279/0001-51,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,20% a.a sobre patrimônio líquido (mínimo de R$23.000,00 mensais)",2024-11-09
VRTA11,"R$ 80,68","11,40%","0,89","R$ 1,78 M","-8,29%",-,121.345,15.592.413,"R$ 90,67","R$ 1,41 Bilhão","R$ 0,80",FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.664.201/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a",2024-11-09
RZAK11,"R$ 80,49","16,04%","0,91","R$ 2,65 M","2,81%",-,53.600,8.807.874,"R$ 88,58","R$ 780,22 Milhões","R$ 1,05",RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.642.219/0001-31,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,20% a.a sobre patrimônio liquido (mínimo R$25.000,00 mensais)",2024-11-09
MCCI11,"R$ 85,23","11,62%","0,91","R$ 4,00 M","2,50%",-,111.861,16.960.013,"R$ 93,33","R$ 1,58 Bilhão","R$ 0,80",FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS,23.648.935/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% ao ano sobre o patrimônio líquido do fundo",2024-11-09
CACR11,"R$ 99,28","16,63%","1,01","R$ 1,68 M","12,29%",-,24.740,4.836.313,"R$ 98,60","R$ 476,88 Milhões","R$ 1,32",CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.065.364/0001-46,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido",2024-11-09
MFII11,"R$ 97,83","14,42%","0,90","R$ 1,49 M","23,24%",-,32.838,5.212.384,"R$ 108,38","R$ 564,89 Milhões","R$ 1,17",MÉRITO DESENVOLVIMENTO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.915.968/0001-88,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"2,0% a.a",2024-11-09
VSLH11,"R$ 3,33","15,57%","0,30","R$ 155,80 K","11,00%",-,78.734,29.864.080,"R$ 10,95","R$ 327,08 Milhões","R$ 0,04",VERSALHES RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.244.015/0001-42,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"de 1,00% a.a até 0,80% a.a (mínimo R$17.000,00 mensais)",2024-11-09
RBVA11,"R$ 97,01","12,37%","0,90","R$ 2,04 M","0,27%","7,40%",64.356,12.485.323,"R$ 107,67","R$ 1,34 Bilhão","R$ 1,00",FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII,15.576.907/0001-70,Geral,Desenvolvimento para renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,35% a.a",2024-11-09
CPTR11,"R$ 6,40","17,27%","0,67","R$ 1,68 M","-23,17%",-,31.476,41.380.049,"R$ 9,49","R$ 392,73 Milhões","R$ 0,10",CAPITANIA AGRO STRATEGIES,42.537.579/0001-76,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
HFOF11,"R$ 62,46","11,98%","0,83","R$ 1,69 M","-5,42%",-,73.433,23.044.378,"R$ 75,23","R$ 1,73 Bilhão","R$ 0,58",HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.307.582/0001-19,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,60% a.a",2024-11-09
JURO11,"R$ 102,30","13,69%","1,00","R$ 6,81 M","9,93%",-,86.099,20.571.666,"R$ 102,09","R$ 2,10 Bilhões","R$ 1,00",Sparta Infra FIC FI-Infra,42.730.834/0001-00,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,1%,2024-11-09
SARE11,"R$ 3,94","9,80%","0,45","R$ 891,05 K","-10,05%","9,62%",34.292,92.343.279,"R$ 8,74","R$ 807,31 Milhões","R$ 0,02",SANTANDER RENDA DE ALUGUÉIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.702/0001-71,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"1,25% a.a",2024-11-09
RZAT11,"R$ 90,00","14,43%","0,90","R$ 1,29 M","16,72%",-,39.501,4.235.031,"R$ 100,54","R$ 425,77 Milhões","R$ 0,92",RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.696/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a",2024-11-09
RBRY11,"R$ 93,79","12,59%","0,96","R$ 4,20 M","4,54%",-,63.884,12.769.501,"R$ 97,62","R$ 1,25 Bilhão","R$ 0,90",FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PRIVATE CRÉDITO IMOBILIÁRIO,30.166.700/0001-11,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido do fundo (minimo R$20.000,00 mensais)",2024-11-09
NEWL11,"R$ 102,60","11,57%","0,78","R$ 243,60 K","5,30%",-,8.394,2.817.401,"R$ 131,66","R$ 370,95 Milhões","R$ 0,95",NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.527.626/0001-47,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a",2024-11-09
